a1,a2,a3,counterfeit
-6.8824,5.4681,0.057313,1
0.23589,-1.8785,1.3258,1
1.3781,1.1582,0.85774,0
0.7098,0.7572,-0.4444,0
4.8856,-5.149,-6.2323,1
-2.3548,2.3792,0.48274,0
0.17381,-1.7542,0.48921,1
0.091039,6.2204,-1.4828,0
3.166,-1.0002,-2.7151,1
7.4908,0.015989,-1.7414,0
2.33,4.9334,0.82929,0
5.5643,1.6765,-0.16769,0
-7.7267,11.9655,-1.4543,1
8.1654,-0.023425,-2.2586,0
4.0537,-0.45699,-4.0327,1
-5.1277,4.5624,1.4797,1
-2.6383,1.9242,0.10645,0
4.0392,-0.3019,-2.1836,1
1.2954,7.701,0.62627,0
5.2684,-2.8904,-0.52716,0
-1.9162,2.5154,0.59912,1
-2.0776,2.8093,0.60688,1
6.0423,0.26019,-2.053,0
-3.7413,5.5777,-0.63578,0
8.7779,-2.2135,-0.80647,0
-2.2121,4.2591,0.27972,1
-10.3257,8.784,-2.1138,1
3.2405,-3.0669,-2.7784,1
2.9094,-1.7859,-2.2069,1
3.0149,0.22849,-0.147,0
-6.841,10.7402,-1.0172,1
-6.301,5.6506,0.19567,1
-0.60424,2.6045,1.3776,1
-0.65804,2.6842,1.1952,1
-0.49457,1.333,1.6543,1
-0.15314,2.53,2.4495,0
-5.7154,3.8298,1.0233,1
8.5234,3.1392,-0.91639,0
1.0326,5.6566,-0.41337,0
-3.2633,3.0895,-0.9849,0
-3.3895,3.4896,1.4771,0
8.1116,-2.9512,-1.4724,0
8.393,-1.361,-1.4659,0
2.7956,-2.378,-2.3491,1
3.1039,-1.1536,1.5651,0
6.8576,-1.0671,0.075416,0
-4.4552,4.5718,-0.9888,0
7.946,1.0742,-3.3409,0
-8.4985,9.1122,1.2379,1
-3.4619,1.7048,1.1008,1
-0.52147,-0.40386,1.2017,1
0.78425,1.1033,1.7008,0
1.552,7.0806,1.031,0
4.0951,-4.8037,-2.1112,1
2.9735,0.92852,0.60558,0
-2.1914,2.4648,1.1409,0
-4.809,8.2142,-2.0659,0
-0.1759,5.1827,1.2922,0
-3.2633,3.0895,-0.9849,0
3.3336,-1.4244,0.60429,0
0.66009,6.0096,-0.43277,0
-0.020702,-0.066267,-0.44699,1
10.1622,-3.8235,-4.0172,0
-4.0599,3.6259,-0.32544,0
3.3605,2.0321,0.26809,0
-5.3036,3.8803,-0.70432,0
0.13863,-0.19651,0.0081754,1
10.1891,-3.9323,-4.1827,0
10.1684,-4.1131,-4.6056,0
2.1438,-0.47241,-1.6677,1
0.14277,-1.1622,-0.48579,1
2.2369,2.7236,0.79438,0
-3.7971,4.6429,-0.2957,0
7.1907,1.2798,-2.4565,0
7.2673,-0.409,-2.2431,0
7.2094,-3.2794,-1.4944,0
-6.4789,5.7568,0.87325,1
2.7811,0.66119,0.34179,0
0.90427,1.1693,1.6892,0
10.2926,-1.2821,-4.0392,0
3.4184,0.20706,-0.066824,0
-12.5667,15.1606,-0.75216,1
5.7588,-0.75345,-0.61251,0
0.89599,-1.9702,0.65472,1
1.4112,1.8076,0.89782,0
-5.6636,10.969,-0.33449,1
-6.332,6.0987,0.14266,1
-9.4711,9.7668,-0.60216,1
-0.56078,7.7215,0.453,0
0.79459,-1.6968,-0.46768,1
-12.7095,12.7957,-2.825,1
-3.7971,3.4391,-0.12501,0
3.3357,-1.3455,-1.9573,1
0.57732,1.3424,1.2133,0
7.4556,-1.3284,-3.3021,0
-3.7454,2.8273,-0.71208,0
-0.053811,5.6703,-1.3509,0
-2.806,2.0116,0.67412,0
-1.4733,2.8718,0.44653,1
6.5679,0.67661,-6.6797,1
-7.4473,6.492,0.36119,1
9.2186,-3.2863,-4.8448,0
6.063,0.54723,0.51248,0
-5.9037,10.9818,-0.82199,1
1.4671,-0.72689,-1.1724,1
-5.8395,7.7687,-0.85302,0
8.3909,2.1624,-3.7405,0
5.496,-2.4774,-0.50648,0
-9.3676,9.3333,-0.10303,1
6.9879,0.67833,-7.5887,1
7.4266,1.2353,-2.9595,0
7.0521,-2.0541,-3.1508,0
-0.49871,0.62863,1.1189,0
-6.8141,6.7019,1.1681,1
2.4769,-2.9512,-0.66165,1
-0.64976,7.6659,0.72326,0
7.9274,-0.056842,-2.1694,0
6.1251,0.52924,0.47886,0
5.2808,-2.2598,0.075416,0
-6.7583,5.8408,0.62369,1
0.66216,4.1494,-0.28406,0
-2.628,3.1529,-0.08622,0
2.0879,-3.3522,-0.66553,1
-3.7971,4.6429,-0.2957,0
2.5162,0.83341,-0.30993,1
6.8514,-1.5443,-0.5582,0
2.8473,4.3439,0.6017,0
-3.0087,2.6773,1.212,0
9.4007,-3.3034,-1.0509,0
1.8644,2.6491,0.47369,0
3.3564,-0.72004,-3.5233,1
-4.4676,3.7304,-0.1095,0
-3.226,3.8058,1.1836,1
0.039307,0.05369,-0.23105,1
-4.5938,5.9068,0.57196,0
-7.8633,11.8387,-1.8978,1
7.3708,-0.31218,-6.7754,1
6.4417,-0.80743,-0.69139,0
-2.2121,-0.051701,0.099985,1
11.2196,-3.6136,-4.0819,0
-5.3118,10.3846,-1.0612,1
6.4003,1.5506,0.6961,0
-5.8395,4.5641,0.68705,1
-7.4494,6.8964,-0.64484,1
8.9951,-4.383,-4.0327,0
-6.2285,10.2389,-1.1543,1
-9.1069,8.9991,-0.28406,1
10.1374,-1.331,-5.4707,0
1.5995,-0.00029081,1.6401,0
7.6398,-2.0824,-1.1698,0
3.0129,0.72888,0.56421,0
9.3221,2.1307,-4.3793,0
-8.5089,12.363,-0.95518,1
7.2756,1.1504,-0.5388,0
3.5364,0.57551,0.41938,0
-2.7066,2.3946,0.86291,0
-2.4852,1.608,0.7155,0
-3.2633,3.0895,-0.98492,0
10.6568,-4.1388,-5.0646,0
-0.64562,-0.42014,0.89136,1
-1.8624,4.026,0.55127,1
1.1071,-2.4706,-0.062945,1
1.8127,6.9144,0.70127,0
-2.5845,2.2309,0.30947,0
6.2265,0.12224,-1.4466,0
6.332,-1.7791,-0.020273,0
7.6294,1.5754,-3.2233,0
0.45937,2.3457,-0.45734,1
3.2715,-1.7671,-3.2608,1
-6.4479,6.0344,-0.20777,1
-8.1157,7.0858,-1.2112,1
2.7397,-2.5323,-2.234,1
3.3812,-3.6684,-3.456,1
1.0657,8.8294,0.94955,0
-4.4221,8.09,-1.7349,0
-3.3109,2.6491,0.066365,0
7.7391,-0.37816,-2.5405,0
3.6874,-1.9385,-3.8918,1
3.6957,-4.1594,-1.9379,1
9.7794,-3.9075,-3.5323,0
-5.167,3.4399,0.052141,1
6.8783,0.44784,-2.2224,0
-5.227,5.63,0.91722,1
-13.0365,15.6773,-0.66165,1
3.944,-0.07912,-2.1203,1
6.7976,-0.40301,0.44912,0
7.7598,-2.4491,-1.2216,0
6.3961,0.092248,0.58102,0
11.8052,-0.40472,-7.8719,0
7.0542,-0.17252,-6.959,1
-6.7128,4.9857,0.32886,1
5.9781,1.1941,-0.3526,0
-8.8131,8.7086,-0.21682,1
6.1851,-2.0439,-0.033204,0
-2.09,1.584,0.71162,1
-6.3175,7.9632,0.20602,0
10.694,1.7022,-2.9026,0
8.2274,-2.4166,-1.5875,0
-4.8794,3.3662,-0.029324,0
2.03,2.1761,-0.083634,0
9.1772,-2.2718,-0.73535,0
4.5731,2.057,-0.18967,0
1.9348,-2.3729,-1.0897,1
9.2207,-3.7044,-6.8103,0
-4.8069,3.3491,-0.49225,0
6.9859,-1.9967,-0.35001,0
5.6264,-2.1235,0.19309,0
7.795,-2.6848,-0.92544,0
5.5395,2.033,-0.40432,0
-0.097265,0.61663,0.061192,1
-0.15521,6.4911,-0.75346,0
-3.9482,4.2625,1.1577,0
-0.35799,0.44698,0.99868,0
2.0982,-3.1954,0.12843,1
-2.0403,2.5574,-0.061652,0
3.1349,0.34073,0.58489,0
1.1484,2.1401,2.0862,0
-2.1562,1.7082,0.9017,1
-5.7133,5.953,0.45946,1
-4.5566,6.4534,-0.056479,1
2.4914,-2.9401,-0.62156,1
1.2767,-0.64206,-1.2642,1
8.0992,-0.24877,-3.2698,0
6.1189,-2.4294,-0.19613,0
8.96,-2.9024,-1.0379,0
0.91254,1.5806,0.39352,0
-13.6779,17.5795,-2.6181,1
2.1086,0.1368,1.6543,0
-0.99326,5.2119,-0.29312,0
10.3878,-1.4029,-3.9151,0
9.109,-0.62064,-1.7129,0
6.8017,0.85483,-7.5344,1
-0.22763,1.488,1.2069,1
-0.63321,7.3848,0.36507,0
5.8974,0.49839,-0.70044,0
-0.24418,0.70146,0.41809,1
-13.0551,16.9583,-2.3052,1
4.0723,-0.23678,-2.1151,1
1.6223,3.0312,0.71679,0
3.5219,-0.38415,-3.8608,1
-0.32696,2.1324,0.6017,1
7.4018,0.071684,-2.5302,0
-6.572,10.5251,-0.16381,1
10.8409,2.7827,-4.0974,0
2.957,-3.5947,-3.1457,1
3.5012,-3.9795,-1.7841,1
2.5762,2.0107,-0.18967,0
-4.4552,4.5718,-0.9888,0
0.46972,1.6671,0.91593,0
5.6222,0.27561,-1.1556,0
-12.8047,15.6824,-1.281,1
0.11794,-1.6823,0.59524,1
0.18002,1.7956,0.97282,1
-7.8322,9.8208,0.47498,1
5.1401,-0.65063,-5.4306,1
8.8172,-0.061983,-3.725,1
8.0081,-0.23592,-1.7608,0
-5.1153,8.6127,-1.4297,0
7.6336,-1.9427,-0.37458,0
-3.4495,3.643,1.0879,0
4.0289,-0.35845,-3.8957,1
7.886,-1.6643,-1.8384,0
3.6026,-1.4166,-2.8948,1
9.2931,0.16594,-4.5396,1
3.4826,-3.6307,-1.3961,1
2.868,-1.8108,-2.2612,1
0.22968,0.7126,-0.3332,1
8.9331,-2.0807,-1.1272,0
9.1048,-0.38758,-5.9763,1
7.7763,-0.23849,-2.9634,0
-10.0712,8.4156,-1.9948,1
12.7302,0.91738,-7.6418,0
12.606,2.9464,-5.7888,0
5.825,-0.51439,-1.4944,0
-2.3507,1.7048,0.90946,0
1.8189,-2.2169,-0.56725,1
9.9946,-3.8081,-3.3642,0
-4.6145,3.9823,-0.23751,0
12.1611,2.8204,-3.7418,0
-2.0113,-0.19565,0.066365,1
8.5482,0.4187,-2.1784,0
2.7749,0.68261,-0.71984,1
3.3605,-4.5064,-4.0431,1
1.7734,-2.2469,-0.68104,1
9.5663,-3.7867,-7.5034,0
5.9781,1.3912,-1.1621,0
6.065,-2.4534,-0.68234,0
7.8695,0.26876,-3.7883,0
-1.6037,8.4756,0.75558,0
-4.4117,3.8238,-0.81682,0
-4.8152,6.3549,0.003003,0
3.1784,-3.5767,-3.1896,1
-1.0512,1.4024,0.77369,1
0.17174,-1.7859,0.36119,1
1.0367,0.75973,1.0013,0
9.2207,-3.7044,-6.8103,0
3.1329,-3.0112,-2.9388,1
1.0015,-2.2726,-0.0060486,1
5.527,1.7785,-0.47156,0
6.0464,-0.11168,-0.58665,0
3.9958,-0.35845,-3.9047,1
9.7939,-4.1508,-4.4582,0
3.6771,-4.0771,-2.0711,1
-0.23591,0.020273,0.76334,1
1.3078,1.291,1.6556,0
-4.4552,4.5718,-0.9888,0
10.3009,-4.8003,-4.3534,0
4.7283,-0.49126,-5.2159,1
2.3134,-0.44499,-1.4905,1
-13.4979,17.6772,-3.3202,1
3.4329,-1.2144,-2.3789,1
0.46351,4.6472,1.0879,0
10.0132,-4.3239,-4.3276,0
11.9459,3.0946,-4.8978,0
10.216,-3.4414,-4.0069,0
-0.02691,2.9618,-0.44958,1
7.2321,-1.0713,-2.5909,0
7.2797,-2.2692,-1.144,0
2.8763,0.1548,-1.2086,1
6.7086,-0.81857,0.47886,0
-7.257,7.9597,0.9211,1
3.5985,1.9387,-0.43406,0
1.2271,0.18564,-1.091,1
3.8923,-4.8277,-4.0069,1
-4.391,4.7466,1.137,0
-3.9172,3.9746,0.36119,0
6.6258,-0.19908,-6.8607,1
8.7986,-2.1672,-0.74182,0
-9.5828,9.4044,0.081882,1
-2.9674,2.3689,0.75429,0
-8.215,10.3315,0.98187,1
10.1539,-3.8561,-4.2228,0
